prompt,debate,model,debater,criterion,score
1,1,claude,DEBATER1,overall_score,6.5
1,1,claude,DEBATER2,overall_score,8.5
1,1,claude,DEBATER3,overall_score,7.5
1,1,claude,DEBATER4,overall_score,7.0
1,1,claude,Debater 1,overall_score,6.5
1,1,claude,Debater 2,overall_score,8.5
1,1,claude,Debater 3,overall_score,7.5
1,1,claude,Debater 4,overall_score,7.0
1,1,gemini,Debater 1,overall_score,7.333333333333333
1,1,gemini,Debater 2,overall_score,9.333333333333334
1,1,gemini,Debater 3,overall_score,8.0
1,1,gemini,Debater 4,overall_score,9.166666666666666
1,1,gpt4o,Debater 1,overall_score,7.5
1,1,gpt4o,Debater 2,overall_score,8.0
1,1,gpt4o,Debater 3,overall_score,8.5
1,1,gpt4o,Debater 4,overall_score,7.0
1,2,claude,Debater 1,overall_score,7.5
1,2,claude,Debater 2,overall_score,6.433333333333334
1,2,claude,Debater 3,overall_score,6.8999999999999995
1,2,claude,Debater 4,overall_score,8.266666666666667
1,2,claude,Debater 5,overall_score,8.166666666666666
1,2,gemini,Debater 1,overall_score,7.5
1,2,gemini,Debater 2,overall_score,6.766666666666667
1,2,gemini,Debater 3,overall_score,7.666666666666667
1,2,gemini,Debater 4,overall_score,9.299999999999999
1,2,gemini,Debater 5,overall_score,9.4
1,2,gpt4o,Debater 1,overall_score,7.5
1,2,gpt4o,Debater 2,overall_score,8.0
1,2,gpt4o,Debater 3,overall_score,6.5
1,2,gpt4o,Debater 4,overall_score,8.5
1,2,gpt4o,Debater 5,overall_score,9.0
1,3,claude,Debater 1,overall_score,6.5
1,3,claude,Debater 2,overall_score,7.5
1,3,claude,Debater 3,overall_score,7.0
1,3,claude,Debater 4,overall_score,8.5
1,3,claude,Debater 5,overall_score,6.333333333333333
1,3,gemini,Debater 1,overall_score,7.333333333333333
1,3,gemini,Debater 2,overall_score,8.933333333333334
1,3,gemini,Debater 3,overall_score,8.233333333333333
1,3,gemini,Debater 4,overall_score,9.6
1,3,gemini,Debater 5,overall_score,8.633333333333333
1,3,gpt4o,Debater 1,overall_score,8.0
1,3,gpt4o,Debater 2,overall_score,8.5
1,3,gpt4o,Debater 3,overall_score,7.5
1,3,gpt4o,Debater 4,overall_score,8.333333333333334
1,3,gpt4o,Debater 5,overall_score,7.333333333333333
1,5,claude,Debater 1,overall_score,6.5
1,5,claude,Debater 2,overall_score,5.6000000000000005
1,5,claude,Debater 3,overall_score,7.6000000000000005
1,5,claude,Debater 4,overall_score,6.066666666666666
1,5,claude,Debater 5,overall_score,6.8999999999999995
1,5,gemini,DEBATER_1,overall_score,8.0
1,5,gemini,DEBATER_2,overall_score,7.8
1,5,gemini,DEBATER_3,overall_score,9.5
1,5,gemini,DEBATER_4,overall_score,7.5
1,5,gemini,DEBATER_5,overall_score,8.2
1,5,gemini,Debater 1,overall_score,8.8
1,5,gemini,Debater 2,overall_score,8.5
1,5,gemini,Debater 3,overall_score,9.8
1,5,gemini,Debater 4,overall_score,8.3
1,5,gemini,Debater 5,overall_score,9.0
1,5,gpt4o,Debater 1,overall_score,7.5
1,5,gpt4o,Debater 2,overall_score,7.333333333333333
1,5,gpt4o,Debater 3,overall_score,8.166666666666666
1,5,gpt4o,Debater 4,overall_score,7.533333333333334
1,5,gpt4o,Debater 5,overall_score,7.3
1,6,claude,Debater 1,overall_score,7.933333333333333
1,6,claude,Debater 2,overall_score,7.3999999999999995
1,6,claude,Debater 3,overall_score,6.833333333333333
1,6,claude,Debater 4,overall_score,7.666666666666667
1,6,gemini,Debater 1,overall_score,8.366666666666665
1,6,gemini,Debater 2,overall_score,8.733333333333333
1,6,gemini,Debater 3,overall_score,8.333333333333334
1,6,gemini,Debater 4,overall_score,7.966666666666668
1,6,gpt4o,Debater 1,overall_score,8.0
1,6,gpt4o,Debater 2,overall_score,7.5
1,6,gpt4o,Debater 3,overall_score,7.0
1,6,gpt4o,Debater 4,overall_score,8.033333333333333
1,7,claude,Debater 1,overall_score,6.3999999999999995
1,7,claude,Debater 2,overall_score,7.866666666666667
1,7,claude,Debater 3,overall_score,7.3999999999999995
1,7,claude,Debater 4,overall_score,6.866666666666667
1,7,gemini,Debater 1,overall_score,6.5
1,7,gemini,Debater 2,overall_score,9.166666666666666
1,7,gemini,Debater 3,overall_score,7.5
1,7,gemini,Debater 4,overall_score,7.5
1,7,gpt4o,Debater 1,overall_score,7.5
1,7,gpt4o,Debater 2,overall_score,8.0
1,7,gpt4o,Debater 3,overall_score,8.0
1,7,gpt4o,Debater 4,overall_score,7.6000000000000005
1,8,claude,Debater 1,overall_score,7.8
1,8,claude,Debater 2,overall_score,6.5
1,8,claude,Debater 3,overall_score,7.2
1,8,gemini,Debater 1,overall_score,8.6
1,8,gemini,Debater 2,overall_score,7.933333333333334
1,8,gemini,Debater 3,overall_score,8.5
1,8,gpt4o,Debater 1,overall_score,7.5
1,8,gpt4o,Debater 2,overall_score,8.0
1,8,gpt4o,Debater 3,overall_score,7.0
1,9,claude,Debater 1,overall_score,8.5
1,9,claude,Debater 2,overall_score,7.8
1,9,claude,Debater 3,overall_score,4.733333333333333
1,9,claude,Debater 4,overall_score,7.3
1,9,gemini,Debater 1,overall_score,9.0
1,9,gemini,Debater 2,overall_score,8.5
1,9,gemini,Debater 3,overall_score,5.0
1,9,gemini,Debater 4,overall_score,8.0
1,9,gpt4o,Debater 1,overall_score,8.0
1,9,gpt4o,Debater 2,overall_score,7.5
1,9,gpt4o,Debater 3,overall_score,6.5
1,9,gpt4o,Debater 4,overall_score,7.0
1,10,claude,Debater 1,overall_score,7.933333333333334
1,10,claude,Debater 2,overall_score,7.433333333333334
1,10,claude,Debater 3,overall_score,5.966666666666666
1,10,claude,Debater 4,overall_score,7.1000000000000005
1,10,gemini,Debater 1,overall_score,9.299999999999999
1,10,gemini,Debater 2,overall_score,8.966666666666667
1,10,gemini,Debater 3,overall_score,7.0
1,10,gemini,Debater 4,overall_score,8.5
1,10,gpt4o,Debater 1,overall_score,8.0
1,10,gpt4o,Debater 2,overall_score,8.5
1,10,gpt4o,Debater 3,overall_score,7.5
1,10,gpt4o,Debater 4,overall_score,7.0
1,11,claude,Debater 1,overall_score,7.5
1,11,claude,Debater 2,overall_score,5.833333333333333
1,11,claude,Debater 3,overall_score,8.5
1,11,claude,Debater 4,overall_score,5.166666666666667
1,11,claude,Debater 5,overall_score,7.6000000000000005
1,11,gemini,Debater 1,overall_score,8.466666666666667
1,11,gemini,Debater 2,overall_score,7.966666666666666
1,11,gemini,Debater 3,overall_score,9.366666666666667
1,11,gemini,Debater 4,overall_score,6.766666666666667
1,11,gemini,Debater 5,overall_score,9.433333333333334
1,11,gpt4o,Debater 1,overall_score,7.5
1,11,gpt4o,Debater 2,overall_score,6.933333333333334
1,11,gpt4o,Debater 3,overall_score,8.066666666666666
1,11,gpt4o,Debater 4,overall_score,6.5
1,11,gpt4o,Debater 5,overall_score,8.0
1,12,claude,Debater 1,overall_score,5.5
1,12,claude,Debater 2,overall_score,7.0
1,12,claude,Debater 3,overall_score,9.166666666666666
1,12,claude,Debater 4,overall_score,8.333333333333334
1,12,gemini,Debater 1,overall_score,7.933333333333334
1,12,gemini,Debater 2,overall_score,8.266666666666667
1,12,gemini,Debater 3,overall_score,9.566666666666666
1,12,gemini,Debater 4,overall_score,8.966666666666667
1,12,gpt4o,Debater 1,overall_score,7.5
1,12,gpt4o,Debater 2,overall_score,8.0
1,12,gpt4o,Debater 3,overall_score,9.0
1,12,gpt4o,Debater 4,overall_score,8.5
1,13,claude,Debater 1,overall_score,6.5
1,13,claude,Debater 2,overall_score,8.0
1,13,claude,Debater 3,overall_score,7.5
1,13,gemini,Debater 1,overall_score,8.0
1,13,gemini,Debater 2,overall_score,9.0
1,13,gemini,Debater 3,overall_score,9.5
1,13,gpt4o,Debater 1,overall_score,7.5
1,13,gpt4o,Debater 2,overall_score,8.0
1,13,gpt4o,Debater 3,overall_score,8.5
1,14,claude,Debater 1,overall_score,5.166666666666667
1,14,claude,Debater 2,overall_score,7.933333333333334
1,14,claude,Debater 3,overall_score,5.733333333333333
1,14,claude,Debater 4,overall_score,6.666666666666667
1,14,claude,Debater 5,overall_score,7.5
1,14,gemini,Debater 1,overall_score,5.0
1,14,gemini,Debater 2,overall_score,9.5
1,14,gemini,Debater 3,overall_score,5.333333333333333
1,14,gemini,Debater 4,overall_score,7.6000000000000005
1,14,gemini,Debater 5,overall_score,9.033333333333333
1,14,gpt4o,Debater 1,overall_score,6.5
1,14,gpt4o,Debater 2,overall_score,8.0
1,14,gpt4o,Debater 3,overall_score,6.333333333333333
1,14,gpt4o,Debater 4,overall_score,7.333333333333333
1,14,gpt4o,Debater 5,overall_score,7.666666666666667
1,16,claude,Debater 1,overall_score,4.5
1,16,claude,Debater 2,overall_score,6.0
1,16,claude,Debater 3,overall_score,7.5
1,16,claude,Debater 4,overall_score,3.6666666666666665
1,16,claude,Debater 5,overall_score,5.5
1,16,gemini,Debater 1,overall_score,8.0
1,16,gemini,Debater 2,overall_score,8.666666666666666
1,16,gemini,Debater 3,overall_score,9.066666666666666
1,16,gemini,Debater 4,overall_score,7.366666666666667
1,16,gemini,Debater 5,overall_score,8.6
1,16,gpt4o,Debater 1,overall_score,6.5
1,16,gpt4o,Debater 2,overall_score,7.0
1,16,gpt4o,Debater 3,overall_score,8.0
1,16,gpt4o,Debater 4,overall_score,6.0
1,16,gpt4o,Debater 5,overall_score,7.5
1,17,claude,Debater 1,overall_score,7.5
1,17,claude,Debater 2,overall_score,8.5
1,17,claude,Debater 3,overall_score,6.666666666666667
1,17,claude,Debater 4,overall_score,7.933333333333334
1,17,gemini,Debater 1,overall_score,8.566666666666666
1,17,gemini,Debater 2,overall_score,9.6
1,17,gemini,Debater 3,overall_score,8.033333333333333
1,17,gemini,Debater 4,overall_score,8.833333333333334
1,17,gpt4o,Debater 1,overall_score,8.0
1,17,gpt4o,Debater 2,overall_score,8.5
1,17,gpt4o,Debater 3,overall_score,7.5
1,17,gpt4o,Debater 4,overall_score,7.333333333333333
1,18,claude,Debater 1,overall_score,8.2
1,18,claude,Debater 2,overall_score,8.033333333333333
1,18,claude,Debater 3,overall_score,8.6
1,18,claude,Debater 4,overall_score,7.033333333333334
1,18,gemini,Debater 1,overall_score,8.866666666666667
1,18,gemini,Debater 2,overall_score,8.700000000000001
1,18,gemini,Debater 3,overall_score,9.233333333333333
1,18,gemini,Debater 4,overall_score,8.4
1,18,gpt4o,Debater 1,overall_score,8.0
1,18,gpt4o,Debater 2,overall_score,8.5
1,18,gpt4o,Debater 3,overall_score,7.5
1,18,gpt4o,Debater 4,overall_score,7.0
2,1,claude,Debater 1,adaptability,7.0
2,1,claude,Debater 1,argumentation,6.5
2,1,claude,Debater 1,coherence,7.5
2,1,claude,Debater 1,engagement,7.5
2,1,claude,Debater 1,mastery_of_the_topic,7.0
2,1,claude,Debater 1,organization_and_clarity,7.0
2,1,claude,Debater 1,persuasion,6.0
2,1,claude,Debater 1,preparation,6.5
2,1,claude,Debater 1,use_of_examples,5.5
2,1,claude,Debater 2,adaptability,8.0
2,1,claude,Debater 2,argumentation,8.5
2,1,claude,Debater 2,coherence,8.0
2,1,claude,Debater 2,engagement,8.5
2,1,claude,Debater 2,mastery_of_the_topic,8.5
2,1,claude,Debater 2,organization_and_clarity,8.5
2,1,claude,Debater 2,persuasion,8.0
2,1,claude,Debater 2,preparation,8.0
2,1,claude,Debater 2,use_of_examples,8.0
2,1,claude,Debater 3,adaptability,7.5
2,1,claude,Debater 3,argumentation,7.0
2,1,claude,Debater 3,coherence,7.833333333333333
2,1,claude,Debater 3,engagement,8.0
