Grupo,data_hora,id,desempenho_proprio,conhecimento_previo,li_material,estudo_extra,expansao_visao,melhor_debatedor,justificativa
1,02/10/2023 15:52:53,1,bom,discordo,concordo totalmente,concordo,concordo,Debatedor 2,Abordou pontos interesses e tem boa desenvoltura na fala
1,02/10/2023 15:53:16,2,muito bom,concordo,concordo totalmente,concordo,concordo,Debatedor 4,"Entre os outros, foi o que melhor desenvolveu e apresentou seus argumentos, de forma clara e objetiva."
1,02/10/2023 15:53:53,4,razoável,discordo,concordo,discordo totalmente,concordo totalmente,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Acho que todos foram igualmente importantes pra discussão e tiveram uma desenvoltura parecida
1,02/10/2023 16:00:25,3,bom,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,Debatedor 2,Melhor conhecimento sobre o assunto e boa argumentação
2,02/10/2023 16:44:21,1,bom,indiferente (ou neutro),concordo totalmente,concordo totalmente,concordo totalmente,Debatedor 4,"Acho que a desenvoltura dele foi a melhor porque, dentre todos, foi o que mais apresentou argumentos coerentes à discussão."
2,02/10/2023 16:44:50,5,bom,concordo,concordo,concordo,concordo totalmente,Debatedor 1,Acredito que houve uma melhor organização das ideias por parte da debatedora e uma abertura mudança de opinião a partir do debate.
2,02/10/2023 16:45:03,4,razoável,concordo,indiferente (ou neutro),concordo,concordo,Debatedor 5,"O debatedor possuia boa oratória e bons apontamentos sobre o tema. Ademais, tal debatedor possuia bons argumentos."
2,02/10/2023 16:45:05,2,bom,concordo,concordo,concordo,concordo totalmente,Debatedor 4,"Entre os debatedores, foi o que mais articulou os argumentos de forma coerente, trazendo dados de outras áreas para comprovar sua linha de pensamento. "
2,02/10/2023 16:45:57,3,razoável,discordo,concordo,concordo,concordo,Debatedor 1,Participu ativamente do debate
3,03/10/2023 14:42:04,1,bom,concordo,concordo,concordo,concordo totalmente,Debatedor 4,"Ele apresentou bem seus argumentos e os desenvolveu de forma clara, organizada e concisa."
3,03/10/2023 14:42:55,5,bom,indiferente (ou neutro),concordo,indiferente (ou neutro),indiferente (ou neutro),Debatedor 4,"Bem, o debatedor soube estruturar bem seus argumentos e suas ideias de forma que ficasse claro a mensagem que ele queria passar. Além de tocar em pontos importantes."
3,03/10/2023 14:43:04,4,bom,concordo,concordo totalmente,concordo totalmente,indiferente (ou neutro),Debatedor 3,"Acredito que ele foi bem assertivo. Nao que os outros nao tenham sido, mas acredito que ele foi um pouco mais assertivo."
3,03/10/2023 14:43:27,3,bom,concordo,concordo,concordo,concordo totalmente,Debatedor 4,"O debatedor 4 conseguiu abrir e desenvolver as pergutas de maneira objetiva e branda, conseguindo proporcionar uma fluidez maior ao debate "
3,03/10/2023 14:44:43,2,muito bom,concordo,concordo,concordo,concordo totalmente,Debatedor 4,"Acredito que ele tem um conhecimento mais aprimorado sobre o tem, ele relatou que já utilizou IA para realizar testes e tem uma opinião bem formada sobre o tema, principalmente sobre o poder da IA de causar malefícios."
5,06/10/2023 14:29:38,3,muito bom,concordo,concordo,concordo,concordo,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Todos compartilharam suas visões e seus pontos e sobre alguns temas e acrescentaram ao debate.
5,06/10/2023 14:29:47,5,bom,concordo,concordo totalmente,concordo totalmente,concordo totalmente,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Acho que todos possuem o ponto de vista semelhante e isso contribuiu para a desenvoltura das opiniões ao longo do debate
5,06/10/2023 14:29:59,1,bom,concordo,concordo totalmente,discordo,concordo totalmente,Debatedor 3,"Acredito que ele é quem tinha mais conhecimento sobre o tema, fez colocações muito boas e ampliou meus horizontes sobre o assunto da inteligência artificial."
5,06/10/2023 14:30:41,4,razoável,concordo,concordo,concordo,concordo,Debatedor 3,O debatedor 3 desenvolveu mais argumentos e contraposições em relação aos demais debatedores e deu mais opinião referente ao tema proposto.
5,06/10/2023 14:31:16,2,razoável,concordo,concordo totalmente,concordo,concordo,Debatedor 5,"A debatedora número 5 apresentou e sustentou bons pontos acerca do tema, além de discorrer sobre eles de forma coesa e eficiente."
6,06/10/2023 15:36:22,4,bom,discordo,concordo,indiferente (ou neutro),concordo,Debatedor 1,acho que o debatedor 1 foi a que conseguiu se expressar melhor e deixar os pontos que tinha pra falar de forma mais clara
6,06/10/2023 15:36:31,1,bom,concordo,concordo totalmente,concordo,concordo totalmente,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,acredito que a opinião de todos foi bastante pertinente e contribuiu igualmente ao debate.
6,06/10/2023 15:37:05,3,muito bom,concordo,concordo,indiferente (ou neutro),concordo totalmente,Debatedor 1,"Melhor dicção, construção frasal e expressão de opiniões."
6,06/10/2023 15:38:39,2,bom,concordo,concordo totalmente,discordo,concordo totalmente,Debatedor 1,Acho q o mesmo teve a melhor desenvoltura e conhecimento  geral para suas respostas 
7,09/10/2023 15:33:14,3,razoável,indiferente (ou neutro),concordo,concordo,concordo,Debatedor 2,O debatedores 2 falou sobre o tema com mais propriedade
7,09/10/2023 15:33:23,4,bom,indiferente (ou neutro),concordo,concordo,concordo,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Os debatedores tiveram mesmo nível de desenvoltura
7,09/10/2023 15:33:24,2,muito bom,indiferente (ou neutro),concordo,discordo,concordo,Debatedor 2,Foi o debatedor em que mais se pôs a disposição para falar.
7,09/10/2023 15:34:55,1,muito bom,concordo,concordo totalmente,concordo,concordo,Debatedor 2,O debatedor 2 se mostrou muito envolvido   com o tema e interagiu em grande parte das perguntas.
8,09/10/2023 16:48:54,2,razoável,indiferente (ou neutro),concordo totalmente,discordo,concordo,Debatedor 1,o Debatedor deu ideias a quais concordei e trouxe pra mim diferentes visões do tema
8,09/10/2023 16:49:22,3,bom,concordo,concordo totalmente,concordo totalmente,concordo,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Todo mundo expressou bem suas falas 
